Unnamed: 0,precision,recall,f1-score,support,scenario
,0.0,0.0,0.0,7.0,bias_label_noise_5pct
,0.6723862239102341,0.7508290075441733,0.7025257592556169,30000.0,bias_label_noise_5pct
,0.9935344681662431,0.9923666666666666,0.9928540037697419,30000.0,bias_label_noise_5pct
,0.9971478371098083,0.9987303602602762,0.9979384712971773,6301.0,bias_region_asia_bias
,1.0,0.25,0.4,4.0,bias_region_asia_bias
,0.9940119760479041,0.996996996996997,0.9955022488755623,333.0,bias_region_asia_bias
,0.9666666666666667,0.90625,0.9354838709677419,32.0,bias_region_asia_bias
,1.0,0.9837067209775967,0.9917864476386037,491.0,bias_region_asia_bias
,0.875,0.9333333333333333,0.9032258064516129,15.0,bias_region_asia_bias
,1.0,0.9411764705882353,0.9696969696969697,17.0,bias_region_asia_bias
,1.0,1.0,1.0,19.0,bias_region_asia_bias
